block_first,block_last,empty_blocks,num_txs,peakTpsAv,finalTpsAv,start_epochtime,trx_per_block
7345,7346,10,1000,50.94876456681184,101.49893697110322,1701398978.4433367,1000.0
7364,7366,10,2000,122.19305614832437,122.19305614832437,1701399071.8185585,1000.0
731,739,10,3000,67.42069081829831,62.020836962798924,1701364668.9368582,375.0
755,763,10,4000,85.94231193111543,85.0093515702902,1701364790.4307983,500.0
779,789,10,5000,88.67102364538714,88.48130411868276,1701364910.8500834,500.0
805,818,10,6000,88.70039493927464,83.9312211665475,1701365040.7121775,461.53846153846155
7313,7321,10,7000,147.46328977482548,145.4422608738077,1701398815.0922396,875.0
851,876,10,8000,93.43584094866074,60.119792599365226,1701365771.5821068,320.0
891,914,10,9000,89.07101495640799,73.23375680702931,1701365981.4422224,391.30434782608694
941,953,10,11000,169.4634308226191,161.81502278245094,1701366955.176336,916.6666666666666
969,982,10,12000,171.07902257714312,167.26045884163514,1701367096.518554,923.0769230769231
998,1013,10,13000,168.30288978564624,159.18441882996197,1701367241.4260273,866.6666666666666
1029,1044,10,14000,171.74021673544613,168.89105697266183,1701367395.5288422,933.3333333333334
1060,1077,10,15000,172.89493731962546,163.71192498547055,1701367551.4519072,882.3529411764706
1092,1111,10,16000,168.88889118427636,162.83342604560937,1701367714.9414563,842.1052631578947
1127,1146,10,17000,172.79145499248364,165.5958833412824,1701367885.664319,894.7368421052631
1162,1182,10,18000,173.73492368918645,167.56234379605152,1701368060.7170672,900.0
1198,1219,10,19000,173.6863321542523,168.62741182758052,1701368240.5572503,904.7619047619048
1235,1257,10,20000,172.15991460946992,171.00789419092257,1701368426.266743,909.0909090909091
