block_first,block_last,empty_blocks,num_txs,peakTpsAv,finalTpsAv,start_epochtime,trx_per_block
813,814,10,1000,2.021727720599708,136.65819804208152,1701778216.3385727,1000.0
817,820,10,2000,120.03398839461234,120.03398839461234,1701779097.631069,666.6666666666666
821,825,10,3000,171.63114459229442,168.31612384931185,1701779164.0875573,750.0
1217,1223,10,4000,136.933453567799,123.19960958475028,1701799359.6124527,666.6666666666666
845,851,10,5000,150.888867534548,149.30153617555618,1701782774.6704166,833.3333333333334
852,860,10,6000,166.10198013511885,154.47638053388343,1701782859.167429,750.0
861,870,10,7000,164.587056503042,156.14573480143864,1701782948.3114326,777.7777777777778
871,881,10,8000,165.74448043312103,161.74088070373554,1701783041.2587018,800.0
882,893,10,9000,181.4525827365505,168.04721812873163,1701783138.7486925,818.1818181818181
894,906,10,10000,175.4906151150191,170.7587828751193,1701783242.541011,833.3333333333334
907,920,10,11000,185.20887464172895,170.31275784063203,1701783354.5422156,846.1538461538462
921,937,10,12000,168.33693645564432,154.91808666503883,1701783469.9417918,750.0
938,955,10,13000,159.83924439680445,154.42310035236386,1701783597.4462774,764.7058823529412
956,974,10,14000,166.20504545757865,155.75544763721817,1701783730.4628618,777.7777777777778
1224,1244,10,15000,153.168786070021,146.43666884899707,1701799439.4433684,750.0
1273,1291,10,15000,162.48181478604374,162.3002977104581,1701800077.9392176,833.3333333333334
998,1018,10,16000,160.76637223944752,155.55440017612128,1701788298.3002207,800.0
1058,1078,10,17000,167.1603155708627,166.4206256249333,1701788976.0779088,850.0
1079,1100,10,18000,189.58018577598435,174.15551021605643,1701789120.6970947,857.1428571428571
1101,1124,10,19000,183.31264315278696,168.7067921748467,1701789271.3647969,826.0869565217391
1125,1148,10,20000,173.98506751177027,173.07757507032568,1701789427.7914827,869.5652173913044
