block_first,block_last,empty_blocks,num_txs,peakTpsAv,finalTpsAv,start_epochtime,trx_per_block
3932,3953,10,1000,150.8389145355793,150.37653476281739,1701754480.260647,47.61904761904762
4026,4088,10,2000,106.54035480780267,100.82767004199357,1701754616.1473508,32.25806451612903
4230,4294,10,3000,161.34941695362494,150.13936625696965,1701754795.0785184,46.875
4435,4506,10,4000,184.0358215812977,182.614865407391,1701754985.1621883,56.33802816901409
4680,4771,10,5000,181.11539920742896,178.63423646239218,1701755171.9486334,54.94505494505494
4971,5077,10,6000,185.921807021001,185.11981003942097,1701755380.5417368,56.60377358490566
5325,5447,10,7000,187.2106477467754,185.85452984716042,1701755606.6022227,57.377049180327866
5719,5859,10,8000,187.05374427792694,186.39769652085081,1701755840.665041,57.142857142857146
6167,6337,10,9000,181.3975559777853,174.61468949995273,1701756092.9475553,52.94117647058823
6690,6870,10,10000,183.42671632743944,183.42671632743944,1701756383.3775756,55.55555555555556
7262,7457,10,11000,185.4327780991134,185.00037199781946,1701756673.4077408,56.41025641025641
7863,8070,10,12000,191.41380022403925,190.55786695841294,1701756972.7102935,57.971014492753625
8505,8838,10,13000,178.3811072354998,128.30518774375471,1701757290.4433155,39.03903903903904
9348,9662,10,14000,152.1755010040461,147.78933107654166,1701757696.5714364,44.5859872611465
10196,10526,10,15000,178.4614950488779,150.08094064862743,1701758089.6674018,45.45454545454545
11096,11416,10,16000,170.89322613900458,162.53124401967182,1701758488.3495128,50.0
11992,12284,10,17000,192.88981329848647,191.57847365924124,1701758891.0492165,58.21917808219178
12891,13231,10,18000,175.85559010995087,174.89739559012682,1701759274.0675147,52.94117647058823
13873,14205,10,19000,190.11739983787567,189.2185953603168,1701759687.7873802,57.2289156626506
14870,15251,10,20000,188.8909811861203,172.1530501411978,1701760120.4200344,52.493438320209975
