block_first,block_last,empty_blocks,num_txs,peakTpsAv,finalTpsAv,start_epochtime
1620,1623,10,1000,68.07543490600796,68.07543490600796,1701166789.4146347
1636,1640,10,2000,107.60752607062051,95.36682530134662,1701167078.723411
1657,1662,10,3000,109.22026227566954,109.08856183757355,1701167370.5344307
1686,1693,10,4000,110.5856148428765,107.60584939232774,1701167708.3830545
1728,1738,10,5000,105.52737483950114,100.7897703068159,1701169366.5984597
1774,1774,10,6000,10.89455557460064,92.30479989148326,1701170483.875299
1821,1833,10,7000,114.58248489353029,113.68766931954953,1701171595.180001
1876,1890,10,8000,120.51433708644925,114.70475930892745,1701172051.5733755
1979,1998,10,9000,94.0369520847415,93.03004428789781,1701184784.5295415
2060,2081,10,10000,94.55851005175698,93.52387957367745,1701185378.7925444
2162,2184,10,11000,97.96486487177584,97.43377330367755,1701190001.9616206
2255,2279,10,12000,106.8307306620912,99.8575822702112,1701190669.38166
2440,2463,10,12000,104.28618355839355,100.39110064669303,1701228580.5442762
2537,2562,10,13000,105.15057938668998,101.66978917483208,1701229191.338297
2640,2666,10,14000,108.3649251719515,108.16735761664685,1701229831.6613388
2751,2781,10,15000,101.90284412929284,101.1341816427866,1701230513.7664585
2872,2903,10,16000,110.15148456844696,104.79005096619629,1701231242.8013299
3000,3032,10,17000,104.6653215124165,103.7042489419296,1701232006.782203
3134,3169,10,18000,112.31545645501073,102.81131760746372,1701232806.918874
3278,3315,10,19000,102.52554670244876,101.31997778045192,1701233652.4904294
3429,3468,10,20000,108.62068173339705,102.6834063431323,1701234536.1985664
