block_first,block_last,empty_blocks,num_txs,peakTpsAv,finalTpsAv,start_epochtime,trx_per_block
1627,1630,10,1000,86.89403557146856,86.89403557146856,1701166922.2688916,333.3333333333333
1645,1649,10,2000,127.42130519246622,122.2406221364816,1701167221.469572,500.0
1670,1676,10,3000,97.43215626199772,97.43215626199772,1701167535.7654178,500.0
1709,1716,10,4000,103.9896003894485,103.9896003894485,1701169181.142103,571.4285714285714
1750,1760,10,5000,120.79970281376129,106.20200159329706,1701170277.2147403,500.0
1795,1806,10,6000,110.28503340138776,107.7084723514727,1701171375.7355917,545.4545454545455
1846,1859,10,7000,119.01129368486485,112.19148772741126,1701171812.071356,538.4615384615385
1905,1905,10,8000,109.55478514065496,117.87623116449075,1701172291.469312,
2016,2035,10,9000,100.34736803864105,94.79067801858315,1701185060.4083788,473.6842105263158
2102,2123,10,10000,99.08736709651683,96.26950397460564,1701185678.0755217,476.1904761904762
2205,2228,10,11000,103.85640853315651,97.14767408420998,1701190317.2316678,478.2608695652174
2485,2509,10,12000,124.83803387681118,104.39353221754678,1701228871.267551,500.0
2585,2610,10,13000,124.26333274148489,106.94744344490073,1701229494.6652195,520.0
2692,2720,10,14000,103.27174105275581,100.36725561090186,1701230156.3816807,500.0
2809,2838,10,15000,105.56298217729623,103.46688494989482,1701230865.180408,517.2413793103449
2932,2963,10,16000,115.25789896426811,105.4441694639032,1701231604.9327376,516.1290322580645
3063,3096,10,17000,120.36579368008047,104.02287331410372,1701232387.2716153,515.1515151515151
3202,3237,10,18000,103.77971884199216,102.16500724425413,1701233211.0220652,514.2857142857143
3350,3387,10,19000,104.43077184649647,101.62002856094409,1701234076.0383558,513.5135135135135
3504,3543,10,20000,105.27136181447221,103.0807760935946,1701234975.7468104,512.8205128205128
