block_first,block_last,empty_blocks,num_txs,peakTpsAv,finalTpsAv,start_epochtime
1616,1619,10,1000,60.77558291666895,60.77558291666895,1701166723.8699477
1631,1635,10,2000,92.24983271377742,84.46210339154503,1701166998.2739143
1650,1656,10,3000,118.42478493218617,104.12652963992294,1701167289.8329055
1677,1685,10,4000,113.49432231206093,101.92718137527525,1701167614.4328785
1717,1727,10,5000,125.45358613771427,107.8651629924962,1701169266.1163797
1761,1773,10,6000,104.04559001670017,97.02971833403554,1701170370.6513772
1807,1820,10,7000,114.48518116112062,106.94662903044356,1701171479.534784
1860,1875,10,8000,110.1580608224143,105.62489831224708,1701171925.3212914
1929,1951,10,9000,95.11509692404294,33.6313682921047,1701176365.790289
2036,2059,10,10000,90.87819176741742,87.11582790256546,1701185209.6351905
2137,2161,10,11000,91.75913684433094,89.63210268365123,1701189823.665895
2414,2439,10,12000,97.43111780193252,94.18989441411571,1701228418.6864698
2229,2254,10,12000,95.52054750815672,94.81130798225423,1701190484.4602191
2510,2536,10,13000,101.70131964405094,98.23297840077895,1701229025.4396698
2611,2639,10,14000,101.9001976833679,99.96548863549776,1701229655.8260868
2721,2750,10,15000,102.76519548981068,102.06130346801994,1701230331.6879709
2839,2871,10,16000,112.62746018619221,101.81441915988533,1701231047.065046
2964,2999,10,17000,105.21198334745097,98.20746882780742,1701231795.78648
3097,3133,10,18000,101.67768393742314,100.28584817564415,1701232590.0998077
3238,3277,10,19000,100.3512603202731,97.73214204753731,1701233422.9717433
3388,3428,10,20000,104.45380012837715,100.90091089003272,1701234299.6358488
