block_first,block_last,empty_blocks,num_txs,peakTpsAv,finalTpsAv,start_epochtime,trx_per_block
1,97,10,1000,32.32464968143475,29.428443374837073,1701754759.8023157,10.416666666666666
218,302,10,2000,77.03355582060549,75.66615760224371,1701755054.444352,23.80952380952381
564,691,10,3000,77.75132393058647,77.33999011920922,1701755348.7546864,23.62204724409449
1054,1222,10,4000,78.80433213319816,78.3095382157441,1701755680.8741257,23.80952380952381
1696,1935,10,5000,68.12742138680143,68.12742138680143,1701756075.2697794,20.92050209205021
2516,2766,10,6000,79.08300855751787,78.76348661654117,1701756509.3624146,24.0
3438,3735,10,7000,78.2073967628332,77.87901297408744,1701756979.436106,23.569023569023567
4951,5451,10,8000,52.114804961622816,52.114804961622816,1701757684.7932324,16.0
6384,6877,10,9000,75.4343294515589,60.2828416225897,1701758360.5604124,18.255578093306287
7906,8361,10,10000,71.65695606232447,71.49371021449983,1701759036.0338192,21.978021978021978
9549,10024,10,11000,78.2532219593798,76.53213573394957,1701759732.5619938,23.157894736842106
11383,11889,10,12000,78.96213410309942,78.66920456202133,1701760522.8653455,23.715415019762847
13265,13270,10,13000,79.15151112114364,38.77231366504173,1701761251.590256,2600.0
15691,16360,10,14000,75.82842898797527,69.44570491603916,1701762479.6743655,20.92675635276532
18302,18308,10,15000,44.05896327748463,44.05896327748463,1701763589.9381027,2500.0
20973,20978,10,16000,71.73973306417147,35.13680456996062,1701765143.3487983,3200.0
25730,25735,10,17000,29.11682989015672,10.763396496350932,1701769539.8254375,3400.0
23879,23884,10,17000,35.521375874670255,18.253275796933675,1701766858.6818728,3400.0
26734,27590,10,18000,67.89671671940535,67.85624488875048,1701774797.724857,21.02803738317757
30005,30932,10,19000,69.87005821963389,67.16619289282569,1701776147.6623518,20.496224379719525
33510,33515,10,20000,50.02383961668408,48.077440614978826,1701777656.8513181,4000.0
