block_first,block_last,empty_blocks,num_txs,peakTpsAv,finalTpsAv,start_epochtime,trx_per_block
1536,1538,10,1000,57.88774238805877,81.31576407489624,1701608961.1521554,500.0
1677,1680,10,2000,112.20889727836546,51.03189062506137,1701609661.2891066,666.6666666666666
2605,2609,10,3000,131.77622103176537,119.03196641016568,1701615334.2979317,750.0
2694,2699,10,4000,135.22199063017868,121.92086096876301,1701615777.0588882,800.0
2785,2792,10,5000,142.49497888788045,130.83036385886257,1701616236.477494,714.2857142857143
2881,2889,10,6000,139.81703738195273,136.6165705427176,1701616716.0040786,750.0
2983,2992,10,7000,144.87810828858466,143.85712564145945,1701617226.039975,777.7777777777778
3088,3099,10,8000,147.2992600159904,136.76151280584665,1701617751.4133925,727.2727272727273
3197,3210,10,9000,137.2444689705159,132.52459817394364,1701618296.904501,692.3076923076923
3313,3327,10,10000,146.15142915994025,134.1760446411191,1701618875.1237032,714.2857142857143
3434,3449,10,11000,145.66816704591344,139.9850631783857,1701619480.920967,733.3333333333334
3558,3575,10,12000,147.1803025872487,136.24807830383986,1701620101.8214765,705.8823529411765
3687,3705,10,13000,143.26823473518436,140.36216342018287,1701620746.887032,722.2222222222222
3827,3846,10,14000,144.81067475072015,141.44237565540732,1701621445.5046093,736.8421052631579
3978,3998,10,15000,145.55864984190683,144.25983574003754,1701622200.843619,750.0
4140,4161,10,16000,146.8035709433762,145.6611493882117,1701623010.205386,761.9047619047619
4309,4331,10,17000,148.13989955681834,144.57247187226716,1701623852.3961236,772.7272727272727
4488,4513,10,18000,146.9028418239727,140.83897759502062,1701624751.4611597,720.0
4678,4704,10,19000,151.65460390020496,141.5810199041224,1701625700.2939177,730.7692307692307
4875,4904,10,20000,146.40481621084828,130.8928969387893,1701626681.8516033,689.6551724137931
