block_first,block_last,empty_blocks,num_txs,peakTpsAv,finalTpsAv,start_epochtime,trx_per_block
1654,1655,10,1000,51.764709594066055,103.08952761905275,1701609549.1482334,1000.0
1991,1994,10,2000,112.40419992296106,92.62141265420475,1701611398.6002324,666.6666666666666
2641,2645,10,3000,140.77381651348242,133.15749407466504,1701615516.9888086,750.0
2732,2737,10,4000,164.78470436514905,140.78864292437643,1701615971.32908,800.0
2827,2833,10,5000,162.97125781291444,148.53696159277962,1701616446.574862,833.3333333333334
2928,2935,10,6000,166.502978165327,150.75112201056817,1701616950.418917,857.1428571428571
3032,3040,10,7000,165.1900424552141,156.75225997210964,1701617470.3979814,875.0
3140,3149,10,8000,167.1220745994169,166.16219776691077,1701618011.8397758,888.8888888888889
3254,3265,10,9000,166.23678444667058,154.00506376058848,1701618580.960345,818.1818181818181
3374,3386,10,10000,163.8219646680447,155.49804912327687,1701619180.8920178,833.3333333333334
3498,3510,10,11000,171.60231043108885,170.48174857552942,1701619800.3925443,916.6666666666666
3626,3639,10,12000,171.2660422303331,170.9030920682389,1701620440.2291667,923.0769230769231
3759,3779,10,13000,164.70628624204352,125.1396892585821,1701621105.6497433,650.0
3907,3930,10,14000,159.85144220970062,118.8214055866171,1701621846.6174908,608.695652173913
4065,4092,10,15000,155.8282821890766,108.1958559664833,1701622635.7948616,555.5555555555555
4234,4260,10,16000,160.67357422508962,119.47933261336884,1701623481.238228,615.3846153846154
4409,4440,10,17000,158.49626882213198,107.02964034250846,1701624355.45138,548.3870967741935
4597,4630,10,18000,160.26446489757024,106.38534567347956,1701625295.2081044,545.4545454545455
4790,4826,10,19000,152.0893353069908,103.59892880387073,1701626261.2211452,527.7777777777778
4999,5037,10,20000,156.78096738984834,103.33339808916911,1701627305.6487422,526.3157894736842
