block_first,block_last,empty_blocks,num_txs,peakTpsAv,finalTpsAv,start_epochtime,trx_per_block
3,6,10,1000,61.62861716688925,61.62861716688925,1701762948.0102382,333.3333333333333
35,42,10,2000,61.19460405187458,54.61733832162977,1701767678.4156144,285.7142857142857
1280,1285,10,3000,110.61530650557928,103.57624480535405,1701788684.4930787,600.0
99,104,10,3000,119.66183239836712,118.65955332357511,1701774885.181776,600.0
128,134,10,4000,149.78399601272483,137.35977884742158,1701775523.2555141,666.6666666666666
163,170,10,5000,306.76588017079206,214.41772132024673,1701776383.6413975,714.2857142857143
192,201,10,6000,167.86894900897747,142.73028001012833,1701776925.534209,666.6666666666666
228,238,10,7000,141.47610886750135,134.5907801265109,1701777516.0600731,700.0
268,283,10,8000,160.99390306476127,113.43539244282408,1701777970.307068,533.3333333333334
318,331,10,9000,169.2460289499314,148.96771985486137,1701779107.7875192,692.3076923076923
367,382,10,10000,174.47482757798826,140.1533896283129,1701779577.7866616,666.6666666666666
430,446,10,11000,177.35769712324887,143.61565049780404,1701780223.7569997,687.5
489,507,10,12000,166.60962941854436,138.65792819768623,1701780808.3093069,666.6666666666666
554,573,10,13000,152.05513627262,138.19709409399377,1701781352.2916737,684.2105263157895
625,644,10,14000,147.57384985989412,146.27525130003878,1701781954.5028596,736.8421052631579
698,719,10,15000,146.3359052180375,140.0335983644535,1701782761.2052343,714.2857142857143
775,798,10,16000,161.55340001445285,141.24095464712684,1701783389.8247447,695.6521739130435
866,890,10,17000,162.89895350410214,143.9266086569426,1701784103.2280025,708.3333333333334
955,983,10,18000,141.45688177008066,128.1981376063252,1701785114.281705,642.8571428571429
1052,1084,10,19000,157.5427576193914,110.85769180155076,1701786048.74227,593.75
1158,1190,10,20000,137.18523374544222,124.3797893255423,1701786944.0957818,625.0
