block_first,block_last,empty_blocks,num_txs,peakTpsAv,finalTpsAv,start_epochtime,trx_per_block
11,14,10,1000,68.71639595197931,68.71639595197931,1701763141.0199423,333.3333333333333
53,61,10,2000,7.467168556909725,7.467168556909725,1701768882.6253736,250.0
110,113,10,3000,116.54603695117027,116.54603695117027,1701775019.3516355,1000.0
141,146,10,4000,194.49834367037337,167.8983439468764,1701775674.7583015,800.0
178,184,10,5000,207.90119527944165,180.2292300053539,1701776603.4937115,833.3333333333334
211,218,10,6000,181.62548711048004,160.01098952448433,1701777248.3934507,857.1428571428571
249,257,10,7000,181.7549511203667,174.52392179150704,1701777749.7170076,875.0
297,306,10,8000,185.33924419809554,167.15025546849466,1701778866.2465236,888.8888888888889
344,354,10,9000,178.93302543321127,175.0941757585353,1701779346.3869274,900.0
399,416,10,10000,190.4399932187516,121.44140008375413,1701779909.9811976,588.2352941176471
462,474,10,11000,182.2916245041122,182.2916245041122,1701780530.608156,916.6666666666666
524,537,10,12000,182.45300743664862,182.37998690386078,1701781079.0266602,923.0769230769231
591,606,10,13000,202.6443294930865,177.1360324598282,1701781644.4162626,866.6666666666666
662,678,10,14000,209.7981095126075,180.97080503453446,1701782361.3516593,875.0
739,755,10,15000,199.7365527589046,187.98965389278555,1701783086.0934296,937.5
823,844,10,16000,179.6519046940917,150.30935665725286,1701783714.359789,761.9047619047619
913,932,10,17000,183.69659619917823,154.41908504477274,1701784642.2144132,894.7368421052631
1008,1028,10,18000,193.4021495820969,181.03292288156123,1701785589.4488811,900.0
1110,1131,10,19000,183.480735281345,179.45196731462622,1701786470.0233703,904.7619047619048
1219,1250,10,20000,176.98591616191118,129.36063253646836,1701787656.9967782,645.1612903225806
