block_first,block_last,empty_blocks,num_txs,peakTpsAv,finalTpsAv,start_epochtime,trx_per_block
216,242,10,1000,87.45120839426373,87.45120839426373,1701656605.9347541,38.46153846153846
373,423,10,2000,105.33925930992052,100.23758572272875,1701658043.9553413,40.0
15657,15733,10,3000,105.25570999231559,102.90528519190063,1701747850.2241642,39.473684210526315
17409,17414,10,4000,4.207025604725229,97.01213288143927,1701753898.3408048,800.0
18031,18158,10,5000,113.34436054714307,113.34436054714307,1701759365.3700101,39.37007874015748
1431,1577,10,6000,115.4261467648837,112.84919833685612,1701672014.6857624,41.0958904109589
1991,2176,10,7000,110.16814964003933,110.16814964003933,1701674493.0184882,37.83783783783784
2619,2818,10,8000,118.37351152577484,115.07125793210612,1701675305.9461875,40.20100502512563
16719,16940,10,9000,121.27724303916493,121.27724303916493,1701751968.041492,40.723981900452486
3681,3686,10,10000,105.38776459656458,96.19226929127899,1701680522.5280795,2000.0
4420,4689,10,11000,121.92456246058556,97.8832473155548,1701688111.5953708,40.89219330855018
5096,5100,10,12000,123.96107612279901,103.33088588836104,1701691350.5810258,3000.0
17456,17461,10,13000,118.98305974613142,101.04603325059381,1701754717.5009236,2600.0
6283,6621,10,14000,125.98931143669262,120.01392972777151,1701702281.1291027,41.42011834319526
7491,7857,10,15000,123.39245191985493,123.02228849368643,1701703775.4767294,40.98360655737705
8798,8803,10,16000,107.84427722709475,94.75829291536888,1701704784.0538816,3200.0
9906,10345,10,17000,122.74101295125996,115.80664614109132,1701707095.8779113,38.724373576309794
10829,11334,10,18000,122.12378927681367,106.76025212442457,1701712215.364279,35.64356435643565
12493,13035,10,19000,124.41211886140245,106.31767219893297,1701713339.0966809,35.055350553505534
13575,14229,10,20000,118.11395133616625,93.53200074355925,1701746606.62687,30.581039755351682
