block_first,block_last,empty_blocks,num_txs,peakTpsAv,finalTpsAv,start_epochtime,trx_per_block
350,372,10,1000,99.47965272893306,99.47965272893306,1701657738.1509619,45.45454545454545
524,569,10,2000,112.0382428848563,102.81433196690814,1701658538.8200397,44.44444444444444
16941,17006,10,3000,119.88335258224174,115.87204439565737,1701752148.5037298,46.15384615384615
1030,1117,10,4000,126.55556310638225,126.55556310638225,1701665022.964312,45.97701149425287
16449,16559,10,5000,124.23997861825342,124.23997861825342,1701748537.1479805,45.45454545454545
1825,1833,10,6000,69.03825023444551,33.93535765391545,1701672543.8162482,750.0
2467,2618,10,7000,127.35738674547426,127.35738674547426,1701674956.932565,46.35761589403973
3158,3331,10,8000,131.89238027396087,129.77960363419507,1701675788.3509614,46.24277456647399
18533,18730,10,9000,133.90705098554267,132.5965743774739,1701759743.767988,45.68527918781726
4204,4419,10,10000,135.66192442358354,135.66192442358354,1701687725.6086981,46.51162790697674
4968,4972,10,11000,125.94714465034393,110.8866099401317,1701690255.7422948,2750.0
5475,5479,10,12000,127.22136543827642,116.69120215202213,1701696902.7336338,3000.0
6000,6282,10,13000,138.12131449445488,130.80713386621164,1701701883.6257823,46.09929078014184
7165,7490,10,14000,78.94063013174237,78.94063013174237,1701703248.7060683,43.07692307692308
8477,8797,10,15000,141.4696940834665,140.66367129779053,1701704384.1842473,46.875
9557,9905,10,16000,138.95084670458274,138.95084670458274,1701706672.8974702,45.97701149425287
18159,18532,10,17000,137.51421496822448,132.41103343102904,1701759514.552321,45.57640750670241
12074,12492,10,18000,134.57738284086275,130.415070210988,1701712907.108816,43.0622009569378
17007,17011,10,19000,130.38412257013087,135.93369064985023,1701752462.2274976,4750.0
15170,15656,10,20000,127.26007316873125,79.27606829210133,1701747406.4756827,41.1522633744856
18731,19208,10,20000,141.0538554213244,126.30808447257053,1701759915.1453133,41.928721174004195
